schema_version,corpus_release_id,poet_id,poet_name,poem_id,title,relative_path,source_bytes,source_sha256,canonical_text_sha256,unicode_character_count,physical_line_count,nonblank_line_count,inventory_word_estimate,warning_codes
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-1185beb31de694bf,A Dream within a Dream,Edgar Allan Poe/A Dream within a Dream.txt,660,e71d9f35bd3f297babd09a09afa072fe5a772872047a51f871b0a97598503553,e71d9f35bd3f297babd09a09afa072fe5a772872047a51f871b0a97598503553,660,25,24,141,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-d996bf649a054bd4,A Dream,Edgar Allan Poe/A Dream.txt,522,6428e801b42f7e7d2a16cadb99ea39c8edb10ace57f22a409285d99e901683d1,6428e801b42f7e7d2a16cadb99ea39c8edb10ace57f22a409285d99e901683d1,522,19,16,96,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-a20bc585e4ec3352,A Pæan,Edgar Allan Poe/A Pæan.txt,1686,938f68567313f1e181b210fa9b6b729e0b467e4d0b46c922e3d61f51c46d27d0,938f68567313f1e181b210fa9b6b729e0b467e4d0b46c922e3d61f51c46d27d0,1685,55,44,257,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-610f374cd5098b6c,A Valentine,Edgar Allan Poe/A Valentine.txt,938,338c3111db543a4bf513f24dfaa69dcab488405987cac656fa0409dae77a2ba4,338c3111db543a4bf513f24dfaa69dcab488405987cac656fa0409dae77a2ba4,938,20,20,161,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-c42ded3b98b6e85e,Al Aaraaf,Edgar Allan Poe/Al Aaraaf.txt,16185,f4a8a90b76a07552ded0a553613a9314750991c405f21f4d8f9e4df43856727b,f4a8a90b76a07552ded0a553613a9314750991c405f21f4d8f9e4df43856727b,16184,447,423,2840,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-2161e646d1ddda05,Alone,Edgar Allan Poe/Alone.txt,789,4b79bae7c3aed22358cb4d38a6c041daff37451a4818e697c743fa04319026ab,4b79bae7c3aed22358cb4d38a6c041daff37451a4818e697c743fa04319026ab,789,26,24,148,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-0cc8c3f928e05dd3,An Enigma,Edgar Allan Poe/An Enigma.txt,630,1d4c6cf7a7481868d864ff90bd48ad9f89f934d10f43ee78b8c6b70377701397,1d4c6cf7a7481868d864ff90bd48ad9f89f934d10f43ee78b8c6b70377701397,630,14,14,100,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-0c5e16ce4dc4efd5,Annabel Lee,Edgar Allan Poe/Annabel Lee.txt,1568,398d2d33f7156310e877cdba2a545ea08f5e5bebf7e7067d3da7903818ef0943,398d2d33f7156310e877cdba2a545ea08f5e5bebf7e7067d3da7903818ef0943,1568,48,42,303,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-b57f5a8db3e83d94,Bridal Ballad,Edgar Allan Poe/Bridal Ballad.txt,897,d5af649ebb872c0546eadf6d5bd0043b1404a94e709eea766c6955d4592fc692,d5af649ebb872c0546eadf6d5bd0043b1404a94e709eea766c6955d4592fc692,897,35,31,179,
1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-a7360fc2385be60c,Dreamland,Edgar Allan Poe/Dreamland.txt,1886,892c7ca6491c91a72b113cdae2ee9cb547a9a446a54c6efedc32323ebffa4f75,892c7ca6491c91a72b113cdae2ee9cb547a9a446a54c6efedc32323ebffa4f75,1886,63,56,327,
