schema_version,profile_id,profile_build_id,reference_release_id,reference_release_sha256,model_id,feature_id,group_id,label,unit,transform,reference_mean_transformed,reference_population_sd_transformed,reference_mean_raw,reference_population_sd_raw,weight,loading_1,loading_2,available_reference_count,explained_variance_1,explained_variance_2
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,vad_valence_mean,vad,Valence Mean,normalized 0-1,identity,0.578776803128,0.0656881685906,0.578776803128,0.0656881685906,0.0238095238095,-0.0970705410559,0.0185136045784,2312,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,vad_valence_sd,vad,Valence Dispersion,population SD,identity,0.224730237818,0.0412812996289,0.224730237818,0.0412812996289,0.0238095238095,0.064407942268,-0.212137124945,2312,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,vad_arousal_mean,vad,Arousal Mean,normalized 0-1,identity,0.455990882436,0.0507937909679,0.455990882436,0.0507937909679,0.0238095238095,0.133357435041,-0.180476401942,2312,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,vad_arousal_sd,vad,Arousal Dispersion,population SD,identity,0.182378191938,0.032098101249,0.182378191938,0.032098101249,0.0238095238095,0.0776804906662,0.0116091938201,2312,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,vad_dominance_mean,vad,Dominance Mean,normalized 0-1,identity,0.501047844055,0.0508825808417,0.501047844055,0.0508825808417,0.0238095238095,0.0931520533316,-0.149010627567,2312,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,vad_dominance_sd,vad,Dominance Dispersion,population SD,identity,0.170872477679,0.0284056529434,0.170872477679,0.0284056529434,0.0238095238095,0.0917444406132,-0.142417991256,2312,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,emotion_anger_proportion,emotion,Anger Association,eligible-token proportion,identity,0.0532394394293,0.0513666926705,0.0532394394293,0.0513666926705,0.0178571428571,0.0877219732518,-0.0841605664117,2315,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,emotion_anticipation_proportion,emotion,Anticipation Association,eligible-token proportion,identity,0.0865676368008,0.0579135644459,0.0865676368008,0.0579135644459,0.0178571428571,-0.00219986028708,-0.0532034082628,2315,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,emotion_disgust_proportion,emotion,Disgust Association,eligible-token proportion,identity,0.0344987293642,0.040861701964,0.0344987293642,0.040861701964,0.0178571428571,0.0828469450398,-0.0929379261074,2315,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,emotion_fear_proportion,emotion,Fear Association,eligible-token proportion,identity,0.0693677956487,0.0592550500248,0.0693677956487,0.0592550500248,0.0178571428571,0.10450559699,-0.0869905666397,2315,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,emotion_joy_proportion,emotion,Joy Association,eligible-token proportion,identity,0.0901299317731,0.0646287455538,0.0901299317731,0.0646287455538,0.0178571428571,-0.036302105346,-0.0967067506695,2315,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,emotion_sadness_proportion,emotion,Sadness Association,eligible-token proportion,identity,0.0738213802737,0.0597646699713,0.0738213802737,0.0597646699713,0.0178571428571,0.061617210151,-0.110940595499,2315,0.167187303667,0.121846120057
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.0.0,versemap-reference-d9969e023145ab13,27fcfed4f5849bb6b26396d23b80fe33fa70a6eb506f52f31c47300c01505af6,versemap-model-8afd11e30fd78865,emotion_surprise_proportion,emotion,Surprise Association,eligible-token proportion,identity,0.0456100837397,0.0396997669829,0.0456100837397,0.0396997669829,0.0178571428571,0.00962393673393,-0.0258872264307,2315,0.167187303667,0.121846120057
